A1,A2,period,A
0.27466269597927195,-4.587770626082489e-4,-3000,0.2742039189166637
0,-0.43053620642789103,-2550,-0.43053620642789103
0.006755366008521868,-0.1202077375998201,-2000,-0.11345237159129824
0.16154932030171174,-0.2622950219237369,-1500,-0.10074570162202515
0.128319982114596,-0.027100398343948204,-1400,0.1012195837706478
0.21026428478731843,-0.044004477992110234,-900,0.1662598067952082
0.5543106936590341,-0,-600,0.5543106936590341
0.15559150257862547,-0.051389012305021214,-300,0.10420249027360426
0.3233218493704707,-0,-50,0.3233218493704707
0,-1.0634663227379066,200,-1.0634663227379066
0.5571370240258462,-0,300,0.5571370240258462
0.5566261401044693,-0,400,0.5566261401044693
