time_start,beta
-3100,0.2741519746334263
-3000,0.24336470224441675
-2900,-0.3943804676427234
-2550,-0.41822316643733176
-2100,-0.18535507240240287
-1600,-0.25935983612003416
-1500,-0.2622361110147217
-1400,-0.255520965236866
-1200,0.12386650266846055
-900,-0.2962655947665402
-600,-0.2701713495876989
-300,-0.5097239083174381
-50,-0.3532936375876692
300,-0.3428145673413759
